,Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry
391,27.0, Private,301302.0, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,50.0, United-States
1899,23.0, Private,119838.0, Bachelors,13.0, Never-married, Prof-specialty,, Male,0.0,0.0,, United-States
24506,21.0, Private,113106.0, Some-college,10.0, Never-married,, Own-child, Female,,0.0,30.0, United-States
255,21.0, Private,250939.0, Some-college,10.0, Never-married, Machine-op-inspct, Other-relative, Male,0.0,0.0,35.0, United-States
15331,32.0, Private,155151.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,55.0, United-States
21561,,,262446.0, 11th,7.0, Married-civ-spouse, Other-service,, Male,0.0,0.0,, United-States
808,64.0, Private,270333.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband,,0.0,0.0,40.0, United-States
19596,40.0, Private,164647.0, Some-college,10.0, Divorced, Prof-specialty, Unmarried, Female,0.0,,38.0, United-States
931,19.0, ?,52114.0, Some-college,10.0, Never-married, ?, Own-child, Female,0.0,0.0,10.0, United-States
29559,44.0, Private,110908.0, Assoc-voc,11.0, Married-civ-spouse, Transport-moving,,,0.0,0.0,25.0, United-States
6877,35.0, Self-emp-inc,200352.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,0.0,45.0, United-States
31203,18.0, Private,89760.0, 12th,8.0, Never-married, Other-service,, Female,0.0,0.0,20.0, United-States
2118,29.0, Private,292120.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,30.0, United-States
5372,27.0, Private,36851.0, Assoc-voc,, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,35.0, United-States
31850,54.0, Private,24108.0, Some-college,10.0, Separated, Exec-managerial, Not-in-family, Female,0.0,0.0,40.0, United-States
31465,48.0, Self-emp-not-inc,191389.0, Some-college,10.0, Separated, Sales, Unmarried, Female,0.0,0.0,50.0, United-States
31459,18.0, Private,170544.0, 11th,7.0, Never-married, Sales, Own-child, Male,0.0,0.0,, United-States
5582,24.0, Local-gov,174413.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,1974.0,40.0, United-States
15230,54.0, Private,28518.0,,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,50.0, United-States
27311,49.0, Self-emp-not-inc,, 7th-8th,4.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,70.0, Italy
25561,24.0, Private,162312.0, HS-grad,9.0, Never-married, Sales, Own-child, Male,0.0,0.0,40.0, South
29827,, Private,175398.0,,, Divorced, Prof-specialty, Not-in-family, Female,,0.0,20.0, United-States
16406,28.0, Self-emp-not-inc,192838.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,45.0, United-States
13283,60.0, Federal-gov,608441.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,40.0, United-States
6089,48.0, Private,250648.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,35.0, United-States
25134,20.0, ?,201490.0, Some-college,10.0, Never-married, ?, Own-child, Male,0.0,0.0,40.0, United-States
27910,45.0, Private,206947.0,,9.0, Divorced, Adm-clerical, Not-in-family,,0.0,0.0,50.0, United-States
6803,38.0, Self-emp-not-inc,214008.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,, United-States
11962,57.0, Self-emp-inc,84231.0, Masters,14.0, Married-civ-spouse, Sales, Husband, Male,0.0,1977.0,50.0, United-States
21273,28.0, Private,129460.0, 10th,, Widowed, Adm-clerical, Unmarried, Female,0.0,2238.0,, United-States
21297,39.0, Private,90646.0, Assoc-voc,11.0, Divorced, Adm-clerical, Unmarried,,0.0,0.0,40.0, United-States
2058,19.0,,354104.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,,0.0,30.0, United-States
29062,64.0, ?,64101.0, 12th,8.0, Married-civ-spouse, ?,, Male,0.0,0.0,24.0, United-States
